goal	rule	score
exhibits(Drug, joint_pain)	exhibits(patient_olivia, joint_pain)	1
exhibits(D1, fatigue)	exhibits(patient_frank, fatigue)	1
treats(Organ, heart_disease)	treats(atorvastatin, heart_disease)	1
has_symptom(D, D2)	has_symptom(arthritis, joint_pain)	1
has_symptom(anxiety, insomnia)	has_symptom(anxiety, insomnia)	1
has_symptom(D, RF)	has_symptom(influenza, fatigue)	1
diagnosed_with(Organ, D)	diagnosed_with(patient_alice, heart_disease)	1
side_effect(ibuprofen, Drug)	side_effect(ibuprofen, nausea)	1
patient(patient_grace)	patient(patient_grace)	1
requires_specialist(D2, pulmonology)	requires_specialist(pneumonia, pulmonology)	1
has_symptom(D, cough)	has_symptom(influenza, cough)	1
exhibits(Drug, fatigue)	exhibits(patient_frank, fatigue)	1
exhibits(Spec, D)	exhibits(patient_olivia, back_pain)	1
exhibits(D1, D)	exhibits(patient_eve, fatigue)	1
may_have_disease(RF, arthritis)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
affects(D, D2)	affects(anemia, heart)	1
has_symptom(D1, headache)	has_symptom(hypertension, headache)	1
treats(amoxicillin, pneumonia)	treats(amoxicillin, pneumonia)	1
affects(D, Doc)	affects(depression, brain)	1
treats(D1, D)	treats(atorvastatin, hypertension)	1
has_symptom(D1, memory_loss)	has_symptom(alzheimers, memory_loss)	1
possible_complication(patient_alice, heart_disease)	possible_complication(P, D2) :- may_have_disease(P, D1), causes(D1, D2)	1
affects(D1, D)	affects(stroke, brain)	1
has_risk_factor(D1, D)	has_risk_factor(patient_dave, stress)	1
exhibits(Spec, fatigue)	exhibits(patient_eve, fatigue)	1
may_have_disease(D, hypertension)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
diagnosed_with(D, D1)	diagnosed_with(patient_liam, kidney_disease)	1
has_symptom(D, D2)	has_symptom(anxiety, dizziness)	1
patient(RF)	patient(patient_frank)	1
has_symptom(D2, D)	has_symptom(pneumonia, cough)	1
risk_factor(D)	risk_factor(poor_diet)	1
affects(anxiety, Organ)	affects(anxiety, brain)	1
has_symptom(pneumonia, D)	has_symptom(pneumonia, fever)	1
requires_specialist(pneumonia, S)	requires_specialist(pneumonia, infectious_disease)	1
has_symptom(alzheimers, memory_loss)	has_symptom(alzheimers, memory_loss)	1
has_symptom(D2, D)	has_symptom(influenza, muscle_weakness)	1
treats(Spec, heart_disease)	treats(amlodipine, heart_disease)	1
affects(D, Organ)	affects(hypertension, kidneys)	1
has_symptom(D, RF)	has_symptom(depression, insomnia)	1
has_symptom(D, D2)	has_symptom(kidney_disease, swollen_joints)	1
side_effect_from_possible_drug(D, P)	side_effect_from_possible_drug(P, SE) :- possible_drug_need(P, Drug), side_effect(Drug, SE)	1
side_effect(D, D1)	side_effect(omeprazole, nausea)	1
affects(osteoporosis, Drug)	affects(osteoporosis, bones)	1
exhibits(S, cough)	exhibits(patient_bob, cough)	1
patient(patient_liam)	patient(patient_liam)	1
possible_drug_need(SE, levothyroxine)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
affects(cancer, Drug)	affects(cancer, liver)	1
side_effect(amoxicillin, Drug)	side_effect(amoxicillin, nausea)	1
requires_specialist(P, D)	requires_specialist(alzheimers, neurology)	1
exhibits(RF, fatigue)	exhibits(patient_iris, fatigue)	1
has_symptom(covid19, Doc)	has_symptom(covid19, cough)	1
treats(oseltamivir, D2)	treats(oseltamivir, covid19)	1
treats(Spec, D)	treats(lisinopril, hypertension)	1
requires_specialist(D, D1)	requires_specialist(hypertension, cardiology)	1
exhibits(RF, shortness_of_breath)	exhibits(patient_bob, shortness_of_breath)	1
side_effect(metformin, Drug)	side_effect(metformin, nausea)	1
symptom(D)	symptom(confusion)	1
has_symptom(D, D1)	has_symptom(anxiety, dizziness)	1
affects(kidney_disease, Drug)	affects(kidney_disease, kidneys)	1
treats(D2, D)	treats(aspirin, stroke)	1
treats(Organ, asthma)	treats(fluticasone, asthma)	1
side_effect(D, P)	side_effect(sertraline, nausea)	1
affects(D, D2)	affects(pneumonia, lungs)	1
exhibits(S, headache)	exhibits(patient_jack, headache)	1
symptom_organ(D, Organ)	symptom_organ(S, Organ) :- has_symptom(D, S), affects(D, Organ)	1
treats(D, D1)	treats(amlodipine, heart_disease)	1
treats(oseltamivir, D)	treats(oseltamivir, covid19)	1
side_effect(sertraline, SE)	side_effect(sertraline, insomnia)	1
has_symptom(D, D1)	has_symptom(kidney_disease, swollen_joints)	1
has_symptom(D, RF)	has_symptom(stroke, confusion)	1
has_symptom(diabetes, fatigue)	has_symptom(diabetes, fatigue)	1
has_risk_factor(RF, aging)	has_risk_factor(patient_eve, aging)	1
treats(SE, D)	treats(oseltamivir, influenza)	1
exhibits(patient_alice, excessive_thirst)	exhibits(patient_alice, excessive_thirst)	1
has_symptom(kidney_disease, D)	has_symptom(kidney_disease, fatigue)	1
may_have_disease(Doc, D)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_specialty(S, endocrinology)	has_specialty(dr_patel, endocrinology)	1
exhibits(D2, loss_of_appetite)	exhibits(patient_dave, loss_of_appetite)	1
exhibits(Organ, fatigue)	exhibits(patient_mia, fatigue)	1
risk_organ(D, S)	risk_organ(P, Organ) :- at_risk_for(P, D), affects(D, Organ)	1
diagnosed_with(Organ, D)	diagnosed_with(patient_mia, liver_disease)	1
exhibits(Spec, dizziness)	exhibits(patient_kate, dizziness)	1
has_risk_factor(RF, D)	has_risk_factor(patient_bob, smoking)	1
exhibits(patient_iris, D)	exhibits(patient_iris, fatigue)	1
specialty(D)	specialty(gastroenterology)	1
symptom(D)	symptom(fever)	1
has_risk_factor(D, stress)	has_risk_factor(patient_jack, stress)	1
has_risk_factor(SE, D)	has_risk_factor(patient_frank, poor_diet)	1
has_symptom(D, D1)	has_symptom(pneumonia, fever)	1
treats(Organ, kidney_disease)	treats(lisinopril, kidney_disease)	1
diagnosed_with(SE, D)	diagnosed_with(patient_bob, asthma)	1
has_symptom(D, D2)	has_symptom(hypertension, dizziness)	1
patient(Spec)	patient(patient_kate)	1
affects(D, Spec)	affects(stroke, brain)	1
has_symptom(D, RF)	has_symptom(diabetes, frequent_urination)	1
diagnosed_with(Organ, D)	diagnosed_with(patient_alice, hypertension)	1
exhibits(patient_kate, D)	exhibits(patient_kate, pale_skin)	1
may_have_disease(patient_iris, depression)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_symptom(D2, loss_of_appetite)	has_symptom(depression, loss_of_appetite)	1
exhibits(SE, D)	exhibits(patient_henry, shortness_of_breath)	1
affects(D, Spec)	affects(depression, brain)	1
treats(Spec, heart_disease)	treats(warfarin, heart_disease)	1
exhibits(RF, D)	exhibits(patient_grace, joint_pain)	1
exhibits(patient_noah, confusion)	exhibits(patient_noah, confusion)	1
requires_specialist(D1, D)	requires_specialist(copd, pulmonology)	1
has_symptom(pneumonia, fatigue)	has_symptom(pneumonia, fatigue)	1
has_symptom(D2, fatigue)	has_symptom(anemia, fatigue)	1
patient(patient_kate)	patient(patient_kate)	1
diagnosed_with(RF, D)	diagnosed_with(patient_noah, alzheimers)	1
has_symptom(depression, Doc)	has_symptom(depression, fatigue)	1
exhibits(D2, fever)	exhibits(patient_frank, fever)	1
patient(Drug)	patient(patient_henry)	1
causes(D, Organ)	causes(depression, anxiety)	1
has_symptom(D2, chest_pain)	has_symptom(hypertension, chest_pain)	1
has_symptom(pneumonia, D)	has_symptom(pneumonia, fatigue)	1
treats(Organ, hypertension)	treats(lisinopril, hypertension)	1
exhibits(SE, fatigue)	exhibits(patient_kate, fatigue)	1
requires_specialist(P, D)	requires_specialist(covid19, infectious_disease)	1
treats(RF, asthma)	treats(albuterol, asthma)	1
has_symptom(D2, D)	has_symptom(influenza, cough)	1
requires_specialist(migraine, S)	requires_specialist(migraine, neurology)	1
requires_specialist(D, D1)	requires_specialist(anxiety, psychiatry)	1
exhibits(patient_frank, fatigue)	exhibits(patient_frank, fatigue)	1
requires_specialist(cancer, D)	requires_specialist(cancer, oncology)	1
may_have_disease(patient_iris, hypothyroidism)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_risk_factor(D2, D)	has_risk_factor(patient_olivia, sedentary_lifestyle)	1
affects(D, Organ)	affects(asthma, lungs)	1
side_effect(metformin, nausea)	side_effect(metformin, nausea)	1
has_risk_factor(P, family_history)	has_risk_factor(patient_alice, family_history)	1
has_risk_factor(D, D1)	has_risk_factor(patient_mia, alcohol_abuse)	1
requires_specialist(D, S)	requires_specialist(cancer, oncology)	1
treats(Organ, D)	treats(lisinopril, heart_disease)	1
treats(D2, D)	treats(albuterol, copd)	1
causes(hypertension, stroke)	causes(hypertension, stroke)	1
possible_drug_need(RF, SE)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
exhibits(D1, D)	exhibits(patient_jack, dizziness)	1
treats(D1, D)	treats(levothyroxine, hypothyroidism)	1
has_symptom(D, D1)	has_symptom(covid19, shortness_of_breath)	1
has_specialty(Doc, D)	has_specialty(dr_chen, neurology)	1
has_risk_factor(SE, D)	has_risk_factor(patient_carol, obesity)	1
has_symptom(D1, D)	has_symptom(asthma, chest_pain)	1
patient(D)	patient(patient_eve)	1
causes(D, D1)	causes(copd, heart_disease)	1
exhibits(Drug, D)	exhibits(patient_olivia, joint_pain)	1
exhibits(patient_grace, D)	exhibits(patient_grace, fatigue)	1
treats(warfarin, heart_disease)	treats(warfarin, heart_disease)	1
requires_specialist(D, D1)	requires_specialist(diabetes, endocrinology)	1
risk_increases(alcohol_abuse, D2)	risk_increases(alcohol_abuse, cancer)	1
has_symptom(D, loss_of_appetite)	has_symptom(depression, loss_of_appetite)	1
has_symptom(D, RF)	has_symptom(asthma, chest_pain)	1
exhibits(Doc, D)	exhibits(patient_mia, fatigue)	1
treats(Spec, D)	treats(warfarin, stroke)	1
may_have_disease(patient_liam, copd)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
side_effect(aspirin, nausea)	side_effect(aspirin, nausea)	1
specialty(D)	specialty(rheumatology)	1
patient(Drug)	patient(patient_frank)	1
patient(Spec)	patient(patient_olivia)	1
risk_increases(obesity, heart_disease)	risk_increases(obesity, heart_disease)	1
risk_increases(stress, P)	risk_increases(stress, hypertension)	1
has_symptom(SE, cough)	has_symptom(asthma, cough)	1
has_symptom(SE, cough)	has_symptom(copd, cough)	1
exhibits(D1, insomnia)	exhibits(patient_bob, insomnia)	1
has_symptom(anemia, pale_skin)	has_symptom(anemia, pale_skin)	1
patient(D1)	patient(patient_eve)	1
risk_increases(smoking, cancer)	risk_increases(smoking, cancer)	1
requires_specialist(D2, nephrology)	requires_specialist(kidney_disease, nephrology)	1
has_symptom(D, chest_pain)	has_symptom(hypertension, chest_pain)	1
affects(diabetes, Drug)	affects(diabetes, pancreas)	1
patient(Organ)	patient(patient_kate)	1
exhibits(D, D1)	exhibits(patient_mia, fatigue)	1
has_symptom(D1, D)	has_symptom(arthritis, fatigue)	1
requires_specialist(D, D1)	requires_specialist(stroke, neurology)	1
requires_specialist(D, D1)	requires_specialist(heart_disease, cardiology)	1
diagnosed_with(D, D1)	diagnosed_with(patient_mia, liver_disease)	1
has_risk_factor(patient_henry, D)	has_risk_factor(patient_henry, smoking)	1
patient(SE)	patient(patient_noah)	1
requires_specialist(alzheimers, D)	requires_specialist(alzheimers, neurology)	1
side_effect(D, P)	side_effect(ibuprofen, abdominal_pain)	1
exhibits(SE, cough)	exhibits(patient_eve, cough)	1
requires_specialist(D1, D)	requires_specialist(pneumonia, infectious_disease)	1
has_symptom(depression, fatigue)	has_symptom(depression, fatigue)	1
has_symptom(pneumonia, fever)	has_symptom(pneumonia, fever)	1
affects(D, S)	affects(cancer, liver)	1
may_have_disease(S, hypothyroidism)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
diagnosed_with(SE, D)	diagnosed_with(patient_jack, migraine)	1
has_symptom(anxiety, D)	has_symptom(anxiety, sweating)	1
has_symptom(liver_disease, nausea)	has_symptom(liver_disease, nausea)	1
patient(SE)	patient(patient_iris)	1
exhibits(D2, muscle_weakness)	exhibits(patient_iris, muscle_weakness)	1
has_symptom(D, D2)	has_symptom(liver_disease, fatigue)	1
has_risk_factor(SE, D)	has_risk_factor(patient_grace, aging)	1
affects(D, Spec)	affects(hypertension, kidneys)	1
affects(D, Doc)	affects(asthma, lungs)	1
exhibits(S, D)	exhibits(patient_iris, weight_gain)	1
treats(D1, heart_disease)	treats(warfarin, heart_disease)	1
has_symptom(D, shortness_of_breath)	has_symptom(heart_disease, shortness_of_breath)	1
exhibits(D, joint_pain)	exhibits(patient_olivia, joint_pain)	1
symptom(D)	symptom(chest_pain)	1
has_symptom(D1, D)	has_symptom(alzheimers, confusion)	1
has_symptom(D1, D)	has_symptom(hypothyroidism, muscle_weakness)	1
has_risk_factor(D1, D)	has_risk_factor(patient_eve, aging)	1
has_specialty(D1, D)	has_specialty(dr_wilson, oncology)	1
treats(metformin, D2)	treats(metformin, diabetes)	1
has_symptom(D2, nausea)	has_symptom(liver_disease, nausea)	1
treats(D2, D)	treats(lisinopril, hypertension)	1
has_symptom(pneumonia, Doc)	has_symptom(pneumonia, shortness_of_breath)	1
has_symptom(D, RF)	has_symptom(hypothyroidism, muscle_weakness)	1
has_symptom(heart_disease, Doc)	has_symptom(heart_disease, shortness_of_breath)	1
possible_drug_need(SE, atorvastatin)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
may_have_disease(patient_iris, pneumonia)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_symptom(D2, D)	has_symptom(stroke, confusion)	1
complication_risk(patient_henry, heart_disease)	complication_risk(P, D2) :- diagnosed_with(P, D1), causes(D1, D2)	1
has_risk_factor(P, aging)	has_risk_factor(patient_noah, aging)	1
possible_drug_need(patient_iris, Spec)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
has_symptom(D2, D)	has_symptom(anxiety, sweating)	1
may_have_disease(S, migraine)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_symptom(anemia, Doc)	has_symptom(anemia, dizziness)	1
has_symptom(D2, insomnia)	has_symptom(anxiety, insomnia)	1
treats(D, D1)	treats(ibuprofen, migraine)	1
needs_specialist(D, psychiatry)	needs_specialist(P, Spec) :- may_have_disease(P, D), requires_specialist(D, Spec)	1
side_effect(lisinopril, Drug)	side_effect(lisinopril, fatigue)	1
risk_increases(alcohol_abuse, P)	risk_increases(alcohol_abuse, liver_disease)	1
has_symptom(D2, headache)	has_symptom(hypertension, headache)	1
patient(RF)	patient(patient_mia)	1
may_have_disease(patient_jack, liver_disease)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
treats(RF, D)	treats(albuterol, copd)	1
has_risk_factor(P, aging)	has_risk_factor(patient_eve, aging)	1
has_risk_factor(RF, obesity)	has_risk_factor(patient_carol, obesity)	1
has_specialty(S, pulmonology)	has_specialty(dr_jones, pulmonology)	1
affects(liver_disease, Organ)	affects(liver_disease, liver)	1
treats(Spec, heart_disease)	treats(aspirin, heart_disease)	1
requires_specialist(D, D1)	requires_specialist(arthritis, rheumatology)	1
has_symptom(anemia, Doc)	has_symptom(anemia, fatigue)	1
has_symptom(D1, shortness_of_breath)	has_symptom(covid19, shortness_of_breath)	1
patient(Organ)	patient(patient_bob)	1
may_have_disease(Organ, copd)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
causes(D, D1)	causes(depression, anxiety)	1
has_symptom(D2, shortness_of_breath)	has_symptom(heart_disease, shortness_of_breath)	1
exhibits(S, fatigue)	exhibits(patient_eve, fatigue)	1
risk_increases(D, cancer)	risk_increases(alcohol_abuse, cancer)	1
exhibits(patient_eve, D)	exhibits(patient_eve, fatigue)	1
requires_specialist(osteoporosis, S)	requires_specialist(osteoporosis, rheumatology)	1
may_have_disease(patient_mia, influenza)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
needs_specialist(Spec, gastroenterology)	needs_specialist(P, Spec) :- may_have_disease(P, D), requires_specialist(D, Spec)	1
affects(D, D1)	affects(covid19, lungs)	1
exhibits(Spec, D)	exhibits(patient_eve, fever)	1
side_effect(D, P)	side_effect(atorvastatin, muscle_weakness)	1
has_risk_factor(D, sedentary_lifestyle)	has_risk_factor(patient_olivia, sedentary_lifestyle)	1
exhibits(Spec, D)	exhibits(patient_liam, swollen_joints)	1
has_symptom(diabetes, Doc)	has_symptom(diabetes, blurred_vision)	1
side_effect(lisinopril, SE)	side_effect(lisinopril, dizziness)	1
has_symptom(D1, D)	has_symptom(stroke, muscle_weakness)	1
patient(Drug)	patient(patient_mia)	1
possible_drug_need(SE, lisinopril)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
has_symptom(SE, cough)	has_symptom(covid19, cough)	1
requires_specialist(heart_disease, D)	requires_specialist(heart_disease, cardiology)	1
treats(RF, liver_disease)	treats(omeprazole, liver_disease)	1
has_specialty(D, D1)	has_specialty(dr_garcia, infectious_disease)	1
treats(D, D1)	treats(aspirin, heart_disease)	1
risk_increases(D, copd)	risk_increases(smoking, copd)	1
has_risk_factor(D, aging)	has_risk_factor(patient_eve, aging)	1
exhibits(D, D1)	exhibits(patient_carol, chest_pain)	1
diagnosed_with(Organ, D)	diagnosed_with(patient_iris, hypothyroidism)	1
risk_increases(D, Doc)	risk_increases(stress, hypertension)	1
exhibits(SE, fatigue)	exhibits(patient_liam, fatigue)	1
requires_specialist(D2, rheumatology)	requires_specialist(arthritis, rheumatology)	1
affects(D, D2)	affects(cancer, liver)	1
treats(Spec, stroke)	treats(warfarin, stroke)	1
at_risk_specialist(RF, oncology)	at_risk_specialist(P, Spec) :- at_risk_for(P, D), requires_specialist(D, Spec)	1
risk_factor(D)	risk_factor(hypertension_history)	1
exhibits(Spec, shortness_of_breath)	exhibits(patient_henry, shortness_of_breath)	1
exhibits(Organ, cough)	exhibits(patient_eve, cough)	1
treats(fluticasone, copd)	treats(fluticasone, copd)	1
exhibits(S, D)	exhibits(patient_olivia, joint_pain)	1
exhibits(Doc, fatigue)	exhibits(patient_grace, fatigue)	1
has_symptom(D, D1)	has_symptom(hypertension, dizziness)	1
treats(D, D1)	treats(ibuprofen, arthritis)	1
treats(Spec, D)	treats(ibuprofen, migraine)	1
risk_increases(smoking, D2)	risk_increases(smoking, cancer)	1
causes(hypertension, D)	causes(hypertension, heart_disease)	1
side_effect(levothyroxine, SE)	side_effect(levothyroxine, sweating)	1
treats(D2, D)	treats(albuterol, asthma)	1
exhibits(Spec, D)	exhibits(patient_mia, fatigue)	1
patient(Organ)	patient(patient_jack)	1
exhibits(SE, insomnia)	exhibits(patient_bob, insomnia)	1
has_symptom(copd, D)	has_symptom(copd, cough)	1
treats(Spec, heart_disease)	treats(atorvastatin, heart_disease)	1
has_risk_factor(SE, smoking)	has_risk_factor(patient_carol, smoking)	1
has_risk_factor(D2, D)	has_risk_factor(patient_frank, poor_diet)	1
has_symptom(migraine, D)	has_symptom(migraine, headache)	1
patient(SE)	patient(patient_dave)	1
exhibits(RF, weight_gain)	exhibits(patient_iris, weight_gain)	1
has_risk_factor(D1, D)	has_risk_factor(patient_henry, sedentary_lifestyle)	1
exhibits(D, memory_loss)	exhibits(patient_noah, memory_loss)	1
risk_increases(D, D2)	risk_increases(diabetes_history, heart_disease)	1
risk_increases(D, heart_disease)	risk_increases(diabetes_history, heart_disease)	1
has_symptom(D, D2)	has_symptom(osteoporosis, back_pain)	1
affects(D, Organ)	affects(liver_disease, liver)	1
requires_specialist(kidney_disease, nephrology)	requires_specialist(kidney_disease, nephrology)	1
has_symptom(D, RF)	has_symptom(osteoporosis, joint_pain)	1
has_symptom(D2, D)	has_symptom(diabetes, weight_loss)	1
at_risk_for(D2, diabetes)	at_risk_for(P, D) :- has_risk_factor(P, RF), risk_increases(RF, D)	1
has_symptom(hypothyroidism, fatigue)	has_symptom(hypothyroidism, fatigue)	1
treats(RF, depression)	treats(sertraline, depression)	1
has_risk_factor(SE, diabetes_history)	has_risk_factor(patient_liam, diabetes_history)	1
has_symptom(D2, D)	has_symptom(hypothyroidism, weight_gain)	1
at_risk_specialist(RF, neurology)	at_risk_specialist(P, Spec) :- at_risk_for(P, D), requires_specialist(D, Spec)	1
treats(D2, D)	treats(warfarin, stroke)	1
exhibits(D, D1)	exhibits(patient_bob, shortness_of_breath)	1
patient(Organ)	patient(patient_liam)	1
at_risk_specialist(D2, D)	at_risk_specialist(P, Spec) :- at_risk_for(P, D), requires_specialist(D, Spec)	1
complication_risk(SE, heart_disease)	complication_risk(P, D2) :- diagnosed_with(P, D1), causes(D1, D2)	1
may_have_disease(RF, depression)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_risk_factor(P, stress)	has_risk_factor(patient_carol, stress)	1
has_symptom(kidney_disease, D)	has_symptom(kidney_disease, swollen_joints)	1
exhibits(SE, fever)	exhibits(patient_eve, fever)	1
treats(atorvastatin, D2)	treats(atorvastatin, heart_disease)	1
exhibits(RF, D)	exhibits(patient_jack, headache)	1
exhibits(Spec, D)	exhibits(patient_bob, insomnia)	1
treats(Organ, D)	treats(oseltamivir, influenza)	1
treats(D, D1)	treats(atorvastatin, heart_disease)	1
complication_risk(SE, stroke)	complication_risk(P, D2) :- diagnosed_with(P, D1), causes(D1, D2)	1
has_symptom(D2, D)	has_symptom(heart_disease, chest_pain)	1
has_symptom(D, D1)	has_symptom(osteoporosis, back_pain)	1
has_symptom(D2, fatigue)	has_symptom(hypothyroidism, fatigue)	1
has_symptom(anemia, dizziness)	has_symptom(anemia, dizziness)	1
may_have_disease(D1, influenza)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_specialty(Drug, rheumatology)	has_specialty(dr_taylor, rheumatology)	1
has_symptom(covid19, fatigue)	has_symptom(covid19, fatigue)	1
affects(heart_disease, Drug)	affects(heart_disease, heart)	1
has_symptom(D1, fatigue)	has_symptom(depression, fatigue)	1
exhibits(S, D)	exhibits(patient_henry, shortness_of_breath)	1
exhibits(patient_henry, D)	exhibits(patient_henry, cough)	1
has_symptom(D, RF)	has_symptom(arthritis, fatigue)	1
side_effect(D, RF)	side_effect(albuterol, sweating)	1
has_symptom(D1, D)	has_symptom(asthma, cough)	1
exhibits(Spec, cough)	exhibits(patient_henry, cough)	1
risk_increases(D, cancer)	risk_increases(family_history, cancer)	1
has_symptom(D1, D)	has_symptom(copd, cough)	1
has_symptom(D2, headache)	has_symptom(migraine, headache)	1
diagnosed_with(SE, diabetes)	diagnosed_with(patient_alice, diabetes)	1
exhibits(SE, joint_pain)	exhibits(patient_olivia, joint_pain)	1
has_specialty(D, D1)	has_specialty(dr_wilson, oncology)	1
exhibits(S, D)	exhibits(patient_noah, confusion)	1
treats(SE, D)	treats(warfarin, stroke)	1
exhibits(SE, shortness_of_breath)	exhibits(patient_bob, shortness_of_breath)	1
has_risk_factor(D, D1)	has_risk_factor(patient_olivia, sedentary_lifestyle)	1
exhibits(D1, fatigue)	exhibits(patient_liam, fatigue)	1
exhibits(SE, muscle_weakness)	exhibits(patient_frank, muscle_weakness)	1
treats(Drug, D)	treats(albuterol, copd)	1
exhibits(RF, D)	exhibits(patient_henry, fatigue)	1
diagnosed_with(RF, D)	diagnosed_with(patient_jack, migraine)	1
has_symptom(D2, D)	has_symptom(covid19, fatigue)	1
diagnosed_with(D, D1)	diagnosed_with(patient_iris, hypothyroidism)	1
affects(depression, Organ)	affects(depression, brain)	1
exhibits(RF, D)	exhibits(patient_carol, shortness_of_breath)	1
requires_specialist(stroke, S)	requires_specialist(stroke, neurology)	1
affects(hypertension, Organ)	affects(hypertension, kidneys)	1
affects(D, S)	affects(hypertension, heart)	1
patient(patient_jack)	patient(patient_jack)	1
diagnosed_with(SE, heart_disease)	diagnosed_with(patient_alice, heart_disease)	1
exhibits(D, nausea)	exhibits(patient_jack, nausea)	1
exhibits(D, D1)	exhibits(patient_bob, insomnia)	1
may_have_disease(Drug, diabetes)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
at_risk_for(D2, anxiety)	at_risk_for(P, D) :- has_risk_factor(P, RF), risk_increases(RF, D)	1
risk_increases(poor_diet, P)	risk_increases(poor_diet, heart_disease)	1
needs_specialist(D, endocrinology)	needs_specialist(P, Spec) :- may_have_disease(P, D), requires_specialist(D, Spec)	1
exhibits(RF, D)	exhibits(patient_alice, fatigue)	1
requires_specialist(Doc, D)	requires_specialist(asthma, pulmonology)	1
exhibits(S, abdominal_pain)	exhibits(patient_mia, abdominal_pain)	1
has_symptom(D, muscle_weakness)	has_symptom(stroke, muscle_weakness)	1
requires_specialist(D1, D)	requires_specialist(anxiety, psychiatry)	1
affects(D1, D)	affects(hypertension, kidneys)	1
complication_drug(patient_kate, SE)	complication_drug(P, Drug) :- complication_risk(P, D), treats(Drug, D)	1
exhibits(Doc, D)	exhibits(patient_liam, swollen_joints)	1
affects(D1, D)	affects(asthma, lungs)	1
may_have_disease(patient_grace, heart_disease)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_symptom(influenza, muscle_weakness)	has_symptom(influenza, muscle_weakness)	1
has_symptom(D, RF)	has_symptom(alzheimers, confusion)	1
symptom(D)	symptom(sweating)	1
